Sexo;Provincias;Municipios;Edad (grupos quinquenales);Periodo;Total
Total;28 Madrid;28028 Bustarviejo;De 0 a 4 años;1 de enero de 2021;91
Total;28 Madrid;28028 Bustarviejo;De 5 a 9 años;1 de enero de 2021;164
Total;28 Madrid;28028 Bustarviejo;De 10 a 14 años  ;1 de enero de 2021;169
Total;28 Madrid;28028 Bustarviejo;De 15 a 19 años  ;1 de enero de 2021;129
Total;28 Madrid;28028 Bustarviejo;De 20 a 24 años;1 de enero de 2021;97
Total;28 Madrid;28028 Bustarviejo;De 25 a 29 años;1 de enero de 2021;108
Total;28 Madrid;28028 Bustarviejo;De 30 a 34 años;1 de enero de 2021;142
Total;28 Madrid;28028 Bustarviejo;De 35 a 39 años;1 de enero de 2021;189
Total;28 Madrid;28028 Bustarviejo;De 40 a 44 años;1 de enero de 2021;270
Total;28 Madrid;28028 Bustarviejo;De 45 a 49 años;1 de enero de 2021;289
Total;28 Madrid;28028 Bustarviejo;De 50 a 54 años;1 de enero de 2021;248
Total;28 Madrid;28028 Bustarviejo;De 55 a 59 años;1 de enero de 2021;223
Total;28 Madrid;28028 Bustarviejo;De 60 a 64 años;1 de enero de 2021;166
Total;28 Madrid;28028 Bustarviejo;De 65 a 69 años;1 de enero de 2021;114
Total;28 Madrid;28028 Bustarviejo;De 70 a 74 años  ;1 de enero de 2021;88
Total;28 Madrid;28028 Bustarviejo;De 75 a 79 años  ;1 de enero de 2021;78
Total;28 Madrid;28028 Bustarviejo;De 80 a 84 años  ;1 de enero de 2021;48
Total;28 Madrid;28028 Bustarviejo;De 85 a 89 años  ;1 de enero de 2021;55
Total;28 Madrid;28028 Bustarviejo;De 90 a 94 años  ;1 de enero de 2021;26
Total;28 Madrid;28028 Bustarviejo;De 95 a 99 años  ;1 de enero de 2021;6
Total;28 Madrid;28028 Bustarviejo;100 y más años;1 de enero de 2021;1
Total;28 Madrid;28029 Cabanillas de la Sierra;De 0 a 4 años;1 de enero de 2021;37
Total;28 Madrid;28029 Cabanillas de la Sierra;De 5 a 9 años;1 de enero de 2021;41
Total;28 Madrid;28029 Cabanillas de la Sierra;De 10 a 14 años  ;1 de enero de 2021;50
Total;28 Madrid;28029 Cabanillas de la Sierra;De 15 a 19 años  ;1 de enero de 2021;48
Total;28 Madrid;28029 Cabanillas de la Sierra;De 20 a 24 años;1 de enero de 2021;41
Total;28 Madrid;28029 Cabanillas de la Sierra;De 25 a 29 años;1 de enero de 2021;34
Total;28 Madrid;28029 Cabanillas de la Sierra;De 30 a 34 años;1 de enero de 2021;33
Total;28 Madrid;28029 Cabanillas de la Sierra;De 35 a 39 años;1 de enero de 2021;54
Total;28 Madrid;28029 Cabanillas de la Sierra;De 40 a 44 años;1 de enero de 2021;88
Total;28 Madrid;28029 Cabanillas de la Sierra;De 45 a 49 años;1 de enero de 2021;85
Total;28 Madrid;28029 Cabanillas de la Sierra;De 50 a 54 años;1 de enero de 2021;81
Total;28 Madrid;28029 Cabanillas de la Sierra;De 55 a 59 años;1 de enero de 2021;56
Total;28 Madrid;28029 Cabanillas de la Sierra;De 60 a 64 años;1 de enero de 2021;61
Total;28 Madrid;28029 Cabanillas de la Sierra;De 65 a 69 años;1 de enero de 2021;30
Total;28 Madrid;28029 Cabanillas de la Sierra;De 70 a 74 años  ;1 de enero de 2021;18
Total;28 Madrid;28029 Cabanillas de la Sierra;De 75 a 79 años  ;1 de enero de 2021;31
Total;28 Madrid;28029 Cabanillas de la Sierra;De 80 a 84 años  ;1 de enero de 2021;27
Total;28 Madrid;28029 Cabanillas de la Sierra;De 85 a 89 años  ;1 de enero de 2021;11
Total;28 Madrid;28029 Cabanillas de la Sierra;De 90 a 94 años  ;1 de enero de 2021;11
Total;28 Madrid;28029 Cabanillas de la Sierra;De 95 a 99 años  ;1 de enero de 2021;0
Total;28 Madrid;28029 Cabanillas de la Sierra;100 y más años;1 de enero de 2021;0
Total;28 Madrid;28030 Cabrera, La;De 0 a 4 años;1 de enero de 2021;83
Total;28 Madrid;28030 Cabrera, La;De 5 a 9 años;1 de enero de 2021;139
Total;28 Madrid;28030 Cabrera, La;De 10 a 14 años  ;1 de enero de 2021;176
Total;28 Madrid;28030 Cabrera, La;De 15 a 19 años  ;1 de enero de 2021;155
Total;28 Madrid;28030 Cabrera, La;De 20 a 24 años;1 de enero de 2021;162
Total;28 Madrid;28030 Cabrera, La;De 25 a 29 años;1 de enero de 2021;114
Total;28 Madrid;28030 Cabrera, La;De 30 a 34 años;1 de enero de 2021;152
Total;28 Madrid;28030 Cabrera, La;De 35 a 39 años;1 de enero de 2021;173
Total;28 Madrid;28030 Cabrera, La;De 40 a 44 años;1 de enero de 2021;271
Total;28 Madrid;28030 Cabrera, La;De 45 a 49 años;1 de enero de 2021;254
Total;28 Madrid;28030 Cabrera, La;De 50 a 54 años;1 de enero de 2021;247
Total;28 Madrid;28030 Cabrera, La;De 55 a 59 años;1 de enero de 2021;216
Total;28 Madrid;28030 Cabrera, La;De 60 a 64 años;1 de enero de 2021;150
Total;28 Madrid;28030 Cabrera, La;De 65 a 69 años;1 de enero de 2021;141
Total;28 Madrid;28030 Cabrera, La;De 70 a 74 años  ;1 de enero de 2021;89
